PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Boarding,Fare,Cabin,Embarked,Deck,Embarked-C,Embarked-Q,Embarked-S,Deck-A,Deck-B,Deck-C,Deck-D,Deck-E,Deck-F,Deck-G,Deck-T,FamilySize,AgeGroup
43,0,3,1,32.84876179652568,0,0,,349253,7.8958,,C,F,1,0,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
44,1,2,0,3.0,1,2,SC/Paris,2123,41.5792,,C,F,1,0,0,0,0,0,0,0,1,0,0,4,Child (0-12)
45,1,3,0,19.0,0,0,,330958,7.8792,,Q,F,0,1,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
46,0,3,1,47.032883816400584,0,0,S.C./A.4.,23567,8.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
47,0,3,1,59.13596037228073,1,0,,370371,15.5,,Q,F,0,1,0,0,0,0,0,0,1,0,0,2,Adult (19-59)
48,1,3,0,19.641732738343677,0,0,,14311,7.75,,Q,F,0,1,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
49,0,3,1,13.457702939582928,2,0,,2662,21.6792,,C,F,1,0,0,0,0,0,0,0,1,0,0,3,Teen (13-18)
50,0,3,0,18.0,1,0,,349237,17.8,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Teen (13-18)
51,0,3,1,7.0,4,1,,3101295,39.6875,,S,F,0,0,1,0,0,0,0,0,1,0,0,6,Child (0-12)
52,0,3,1,21.0,0,0,A/4.,39886,7.8,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
53,1,1,0,49.0,1,0,PC,17572,76.7292,D33,C,D,1,0,0,0,0,0,1,0,0,0,0,2,Adult (19-59)
54,1,2,0,29.0,1,0,,2926,26.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
55,0,1,1,65.0,0,1,,113509,61.9792,B30,C,B,1,0,0,0,1,0,0,0,0,0,0,2,Senior (60+)
56,1,1,1,33.116326597715855,0,0,,19947,35.5,C52,S,C,0,0,1,0,0,1,0,0,0,0,0,1,Adult (19-59)
57,1,2,0,21.0,0,0,C.A.,31026,10.5,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
58,0,3,1,28.5,0,0,,2697,7.2292,,C,F,1,0,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
59,1,2,0,5.0,1,2,C.A.,34651,27.75,,S,F,0,0,1,0,0,0,0,0,1,0,0,4,Child (0-12)
60,0,3,1,11.0,5,2,CA,2144,46.9,,S,F,0,0,1,0,0,0,0,0,1,0,0,8,Child (0-12)
61,0,3,1,22.0,0,0,,2669,7.2292,,C,F,1,0,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
62,1,1,0,38.0,0,0,,113572,80.0,B28,S,B,0,0,1,0,1,0,0,0,0,0,0,1,Adult (19-59)
63,0,1,1,45.0,1,0,,36973,83.475,C83,S,C,0,0,1,0,0,1,0,0,0,0,0,2,Adult (19-59)
64,0,3,1,4.0,3,2,,347088,27.9,,S,F,0,0,1,0,0,0,0,0,1,0,0,6,Child (0-12)
65,0,1,1,21.132383026818818,0,0,PC,17605,27.7208,,C,C,1,0,0,0,0,1,0,0,0,0,0,1,Adult (19-59)
66,1,3,1,31.658421549851134,1,1,,2661,15.2458,,C,F,1,0,0,0,0,0,0,0,1,0,0,3,Adult (19-59)
67,1,2,0,29.0,0,0,C.A.,29395,10.5,F33,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
68,0,3,1,19.0,0,0,S.P.,3464,8.1583,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
69,1,3,0,17.0,4,2,,3101281,7.925,,S,F,0,0,1,0,0,0,0,0,1,0,0,7,Teen (13-18)
70,0,3,1,26.0,2,0,,315151,8.6625,,S,F,0,0,1,0,0,0,0,0,1,0,0,3,Adult (19-59)
71,0,2,1,32.0,0,0,C.A.,33111,10.5,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
72,0,3,0,16.0,5,2,CA,2144,46.9,,S,F,0,0,1,0,0,0,0,0,1,0,0,8,Teen (13-18)
73,0,2,1,21.0,0,0,S.O.C.,14879,73.5,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
74,0,3,1,26.0,1,0,,2680,14.4542,,C,F,1,0,0,0,0,0,0,0,1,0,0,2,Adult (19-59)
75,1,3,1,32.0,0,0,,1601,56.4958,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
76,0,3,1,25.0,0,0,,348123,7.65,F G73,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
77,0,3,1,14.062298435994435,0,0,,349208,7.8958,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Teen (13-18)
78,0,3,1,39.11044705067289,0,0,,374746,8.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
79,1,2,1,0.83,0,2,,248738,29.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,3,Child (0-12)
80,1,3,0,30.0,0,0,,364516,12.475,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
81,0,3,1,22.0,0,0,,345767,9.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
82,1,3,1,29.0,0,0,,345779,9.5,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
83,1,3,0,19.015328268136795,0,0,,330932,7.7875,,Q,F,0,1,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
84,0,1,1,28.0,0,0,,113059,47.1,,S,C,0,0,1,0,0,1,0,0,0,0,0,1,Adult (19-59)
85,1,2,0,17.0,0,0,SO/C,14885,10.5,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Teen (13-18)
86,1,3,0,33.0,3,0,,3101278,15.85,,S,F,0,0,1,0,0,0,0,0,1,0,0,4,Adult (19-59)
87,0,3,1,16.0,1,3,W./C.,6608,34.375,,S,F,0,0,1,0,0,0,0,0,1,0,0,5,Teen (13-18)
88,0,3,1,26.737130887008707,0,0,SOTON/OQ,3,8.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
89,1,1,0,23.0,3,2,,19950,263.0,C23 C25 C27,S,C,0,0,1,0,0,1,0,0,0,0,0,6,Adult (19-59)
90,0,3,1,24.0,0,0,,343275,8.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
91,0,3,1,29.0,0,0,,343276,8.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
92,0,3,1,20.0,0,0,,347466,7.8542,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
93,0,1,1,46.0,1,0,W.E.P.,5734,61.175,E31,S,E,0,0,1,0,0,0,0,1,0,0,0,2,Adult (19-59)
94,0,3,1,26.0,1,2,C.A.,2315,20.575,,S,F,0,0,1,0,0,0,0,0,1,0,0,4,Adult (19-59)
95,0,3,1,59.0,0,0,,364500,7.25,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
96,0,3,1,42.80729121331688,0,0,,374910,8.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
97,0,1,1,71.0,0,0,PC,17754,34.6542,A5,C,A,1,0,0,1,0,0,0,0,0,0,0,1,Senior (60+)
98,1,1,1,23.0,0,1,PC,17759,63.3583,D10 D12,C,D,1,0,0,0,0,0,1,0,0,0,0,2,Adult (19-59)
99,1,2,0,34.0,0,1,,231919,23.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
100,0,2,1,34.0,1,0,,244367,26.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
101,0,3,0,28.0,0,0,,349245,7.8958,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
102,0,3,1,29.933624849929465,0,0,,349215,7.8958,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
103,0,1,1,21.0,0,1,,35281,77.2875,D26,S,D,0,0,1,0,0,0,1,0,0,0,0,2,Adult (19-59)
104,0,3,1,33.0,0,0,,7540,8.6542,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
105,0,3,1,37.0,2,0,,3101276,7.925,,S,F,0,0,1,0,0,0,0,0,1,0,0,3,Adult (19-59)
106,0,3,1,28.0,0,0,,349207,7.8958,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
107,1,3,0,21.0,0,0,,343120,7.65,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
108,1,3,1,41.870320307753836,0,0,,312991,7.775,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
109,0,3,1,38.0,0,0,,349249,7.8958,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
110,1,3,0,24.492649317451523,1,0,,371110,24.15,,Q,F,0,1,0,0,0,0,0,0,1,0,0,2,Adult (19-59)
111,0,1,1,47.0,0,0,,110465,52.0,C110,S,C,0,0,1,0,0,1,0,0,0,0,0,1,Adult (19-59)
112,0,3,0,14.5,1,0,,2665,14.4542,,C,F,1,0,0,0,0,0,0,0,1,0,0,2,Teen (13-18)
113,0,3,1,22.0,0,0,,324669,8.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
114,0,3,0,20.0,1,0,,4136,9.825,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
115,0,3,0,17.0,0,0,,2627,14.4583,,C,F,1,0,0,0,0,0,0,0,1,0,0,1,Teen (13-18)
116,0,3,1,21.0,0,0,STON/O,2,31.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
117,0,3,1,70.5,0,0,,370369,7.75,,Q,F,0,1,0,0,0,0,0,0,1,0,0,1,Senior (60+)
118,0,2,1,29.0,1,0,,11668,21.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
119,0,1,1,24.0,0,1,PC,17558,247.5208,B58 B60,C,B,1,0,0,0,1,0,0,0,0,0,0,2,Adult (19-59)
120,0,3,0,2.0,4,2,,347082,31.275,,S,F,0,0,1,0,0,0,0,0,1,0,0,7,Child (0-12)
121,0,2,1,21.0,2,0,S.O.C.,14879,73.5,,S,F,0,0,1,0,0,0,0,0,1,0,0,3,Adult (19-59)
122,0,3,1,19.123268874295146,0,0,A4.,54510,8.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
123,0,2,1,32.5,1,0,,237736,30.0708,,C,F,1,0,0,0,0,0,0,0,1,0,0,2,Adult (19-59)
124,1,2,0,32.5,0,0,,27267,13.0,E101,S,E,0,0,1,0,0,0,0,1,0,0,0,1,Adult (19-59)
125,0,1,1,54.0,0,1,,35281,77.2875,D26,S,D,0,0,1,0,0,0,1,0,0,0,0,2,Adult (19-59)
126,1,3,1,12.0,1,0,,2651,11.2417,,C,F,1,0,0,0,0,0,0,0,1,0,0,2,Child (0-12)
127,0,3,1,42.174043572330845,0,0,,370372,7.75,,Q,F,0,1,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
128,1,3,1,24.0,0,0,C,17369,7.1417,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
129,1,3,0,38.093570371260284,1,1,,2668,22.3583,F E69,C,F,1,0,0,0,0,0,0,0,1,0,0,3,Adult (19-59)
130,0,3,1,45.0,0,0,,347061,6.975,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
131,0,3,1,33.0,0,0,,349241,7.8958,,C,F,1,0,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
132,0,3,1,20.0,0,0,SOTON/O.Q.,31,7.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
133,0,3,0,47.0,1,0,A/5.,3337,14.5,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
134,1,2,0,29.0,1,0,,228414,26.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
135,0,2,1,25.0,0,0,C.A.,29178,13.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
136,0,2,1,23.0,0,0,SC/PARIS,2133,15.0458,,C,F,1,0,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
137,1,1,0,19.0,0,2,,11752,26.2833,D47,S,D,0,0,1,0,0,0,1,0,0,0,0,3,Adult (19-59)
138,0,1,1,37.0,1,0,,113803,53.1,C123,S,C,0,0,1,0,0,1,0,0,0,0,0,2,Adult (19-59)
139,0,3,1,16.0,0,0,,7534,9.2167,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Teen (13-18)
140,0,1,1,24.0,0,0,PC,17593,79.2,B86,C,B,1,0,0,0,1,0,0,0,0,0,0,1,Adult (19-59)
141,0,3,0,18.84211129821817,0,2,,2678,15.2458,,C,F,1,0,0,0,0,0,0,0,1,0,0,3,Adult (19-59)
142,1,3,0,22.0,0,0,,347081,7.75,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
143,1,3,0,24.0,1,0,STON/O2.,31,15.85,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
144,0,3,1,19.0,0,0,,365222,6.75,,Q,F,0,1,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
145,0,2,1,18.0,0,0,,231945,11.5,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Teen (13-18)
146,0,2,1,19.0,1,1,C.A.,33112,36.75,,S,F,0,0,1,0,0,0,0,0,1,0,0,3,Adult (19-59)
147,1,3,1,27.0,0,0,,350043,7.7958,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
148,0,3,0,9.0,2,2,W./C.,6608,34.375,,S,F,0,0,1,0,0,0,0,0,1,0,0,5,Child (0-12)
149,0,2,1,36.5,0,2,,230080,26.0,F2,S,F,0,0,1,0,0,0,0,0,1,0,0,3,Adult (19-59)
150,0,2,1,42.0,0,0,,244310,13.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
151,0,2,1,51.0,0,0,S.O.P.,1166,12.525,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
152,1,1,0,22.0,1,0,,113776,66.6,C2,S,C,0,0,1,0,0,1,0,0,0,0,0,2,Adult (19-59)
153,0,3,1,55.5,0,0,A.5.,11206,8.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
154,0,3,1,40.5,0,2,A/5.,851,14.5,,S,F,0,0,1,0,0,0,0,0,1,0,0,3,Adult (19-59)
155,0,3,1,35.80686467633272,0,0,Fa,2,7.3125,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
156,0,1,1,51.0,0,1,PC,17597,61.3792,,C,C,1,0,0,0,0,1,0,0,0,0,0,2,Adult (19-59)
157,1,3,0,16.0,0,0,,35851,7.7333,,Q,F,0,1,0,0,0,0,0,0,1,0,0,1,Teen (13-18)
158,0,3,1,30.0,0,0,SOTON/OQ,3,8.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
159,0,3,1,12.815051713972553,0,0,,315037,8.6625,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Teen (13-18)
160,0,3,1,-15.782972939660286,8,2,CA.,2343,69.55,,S,F,0,0,1,0,0,0,0,0,1,0,0,11,
161,0,3,1,44.0,0,1,,371362,16.1,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
162,1,2,0,40.0,0,0,C.A.,33595,15.75,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
163,0,3,1,26.0,0,0,,347068,7.775,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
164,0,3,1,17.0,0,0,,315093,8.6625,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Teen (13-18)
165,0,3,1,1.0,4,1,,3101295,39.6875,,S,F,0,0,1,0,0,0,0,0,1,0,0,6,Child (0-12)
166,1,3,1,9.0,0,2,,363291,20.525,,S,F,0,0,1,0,0,0,0,0,1,0,0,3,Child (0-12)
167,1,1,0,28.386097245439082,0,1,,113505,55.0,E33,S,E,0,0,1,0,0,0,0,1,0,0,0,2,Adult (19-59)
168,0,3,0,45.0,1,4,,347088,27.9,,S,F,0,0,1,0,0,0,0,0,1,0,0,6,Adult (19-59)
169,0,1,1,31.211228790708212,0,0,PC,17318,25.925,,S,C,0,0,1,0,0,1,0,0,0,0,0,1,Adult (19-59)
170,0,3,1,28.0,0,0,,1601,56.4958,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
171,0,1,1,61.0,0,0,,111240,33.5,B19,S,B,0,0,1,0,1,0,0,0,0,0,0,1,Senior (60+)
172,0,3,1,4.0,4,1,,382652,29.125,,Q,F,0,1,0,0,0,0,0,0,1,0,0,6,Child (0-12)
173,1,3,0,1.0,1,1,,347742,11.1333,,S,F,0,0,1,0,0,0,0,0,1,0,0,3,Child (0-12)
174,0,3,1,21.0,0,0,STON/O,2,31.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
175,0,1,1,56.0,0,0,,17764,30.6958,A7,C,A,1,0,0,1,0,0,0,0,0,0,0,1,Adult (19-59)
176,0,3,1,18.0,1,1,,350404,7.8542,,S,F,0,0,1,0,0,0,0,0,1,0,0,3,Teen (13-18)
177,0,3,1,10.953887453819766,3,1,,4133,25.4667,,S,F,0,0,1,0,0,0,0,0,1,0,0,5,Child (0-12)
178,0,1,0,50.0,0,0,PC,17595,28.7125,C49,C,C,1,0,0,0,0,1,0,0,0,0,0,1,Adult (19-59)
179,0,2,1,30.0,0,0,,250653,13.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
180,0,3,1,36.0,0,0,LINE,0,0.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
181,0,3,0,-27.675915491354793,8,2,CA.,2343,69.55,,S,F,0,0,1,0,0,0,0,0,1,0,0,11,
182,0,2,1,31.736963249197267,0,0,SC/PARIS,2131,15.05,,C,F,1,0,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
183,0,3,1,9.0,4,2,,347077,31.3875,,S,F,0,0,1,0,0,0,0,0,1,0,0,7,Child (0-12)
184,1,2,1,1.0,2,1,,230136,39.0,F4,S,F,0,0,1,0,0,0,0,0,1,0,0,4,Child (0-12)
185,1,3,0,4.0,0,2,,315153,22.025,,S,F,0,0,1,0,0,0,0,0,1,0,0,3,Child (0-12)
186,0,1,1,44.83486318238959,0,0,,113767,50.0,A32,S,A,0,0,1,1,0,0,0,0,0,0,0,1,Adult (19-59)
187,1,3,0,20.816104676963235,1,0,,370365,15.5,,Q,F,0,1,0,0,0,0,0,0,1,0,0,2,Adult (19-59)
188,1,1,1,45.0,0,0,,111428,26.55,,S,C,0,0,1,0,0,1,0,0,0,0,0,1,Adult (19-59)
189,0,3,1,40.0,1,1,,364849,15.5,,Q,F,0,1,0,0,0,0,0,0,1,0,0,3,Adult (19-59)
190,0,3,1,36.0,0,0,,349247,7.8958,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
191,1,2,0,32.0,0,0,,234604,13.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
192,0,2,1,19.0,0,0,,28424,13.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
193,1,3,0,19.0,1,0,,350046,7.8542,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
194,1,2,1,3.0,1,1,,230080,26.0,F2,S,F,0,0,1,0,0,0,0,0,1,0,0,3,Child (0-12)
195,1,1,0,44.0,0,0,PC,17610,27.7208,B4,C,B,1,0,0,0,1,0,0,0,0,0,0,1,Adult (19-59)
196,1,1,0,58.0,0,0,PC,17569,146.5208,B80,C,B,1,0,0,0,1,0,0,0,0,0,0,1,Adult (19-59)
197,0,3,1,47.681275895206014,0,0,,368703,7.75,,Q,F,0,1,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
198,0,3,1,42.0,0,1,,4579,8.4042,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
199,1,3,0,39.629214722291316,0,0,,370370,7.75,,Q,F,0,1,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
200,0,2,0,24.0,0,0,,248747,13.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
201,0,3,1,28.0,0,0,,345770,9.5,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
202,0,3,1,8.246746700202355,8,2,CA.,2343,69.55,,S,F,0,0,1,0,0,0,0,0,1,0,0,11,Child (0-12)
203,0,3,1,34.0,0,0,,3101264,6.4958,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
204,0,3,1,45.5,0,0,,2628,7.225,,C,F,1,0,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
205,1,3,1,18.0,0,0,A/5,3540,8.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Teen (13-18)
206,0,3,0,2.0,0,1,,347054,10.4625,G6,S,G,0,0,1,0,0,0,0,0,0,1,0,2,Child (0-12)
207,0,3,1,32.0,1,0,,3101278,15.85,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
208,1,3,1,26.0,0,0,,2699,18.7875,,C,F,1,0,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
209,1,3,0,16.0,0,0,,367231,7.75,,Q,F,0,1,0,0,0,0,0,0,1,0,0,1,Teen (13-18)
210,1,1,1,40.0,0,0,,112277,31.0,A31,C,A,1,0,0,1,0,0,0,0,0,0,0,1,Adult (19-59)
211,0,3,1,24.0,0,0,SOTON/O.Q.,31,7.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
212,1,2,0,35.0,0,0,F.C.C.,13528,21.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
